id,CategoryID,Name,IsActive,JsonLink
78,1,Аккумуляторы для ИБП,1,https://catalog.onliner.by/ups_battery
79,1,Аккумуляторы и зарядные устройства для инструмента,1,https://catalog.onliner.by/tools_accum
80,1,Аксессуары для бара,1,https://catalog.onliner.by/bar_accessories
81,1,Аксессуары для велосипеда,1,https://catalog.onliner.by/bike_accessories
82,1,Аксессуары для косметики,1,https://catalog.onliner.by/cosmetics_access
83,1,Аксессуары для крупной бытовой и встраиваемой техники,1,https://catalog.onliner.by/largehomeapp_acs
84,1,Аксессуары для кухонной техники,1,https://catalog.onliner.by/kitchen_acs
85,1,Аксессуары для мойки и ухода за автомобилем,1,https://catalog.onliner.by/carwashandcare
86,1,"Аксессуары для пылесосов, пароочистителей",1,https://catalog.onliner.by/vacuum_acs
87,1,Аксессуары для ТВ,1,https://catalog.onliner.by/tvaccessory
88,1,Аксессуары и крепления для экшен-камер,1,https://catalog.onliner.by/actioncamera_acs
89,1,Аксессуары к товарам для красоты и здоровья,1,https://catalog.onliner.by/beauty_acs
90,1,Акустика,1,https://catalog.onliner.by/carspeakers
91,1,Алкотестеры,1,https://catalog.onliner.by/breathalyzer
92,1,Аминокислоты,1,https://catalog.onliner.by/amino_acids
93,1,Антенны беспроводной связи,1,https://catalog.onliner.by/wantenna
94,1,"Антибиотики, противомикробные препараты",1,https://catalog.onliner.by/antibiotics
95,1,Антивирусы и безопасность,1,https://catalog.onliner.by/antivirus
96,1,Антигистаминные (противоаллергические) препараты,1,https://catalog.onliner.by/allergy_med
97,1,Антисептики для кожи,1,https://catalog.onliner.by/sanitizer
98,1,Аппараты для сварки труб,1,https://catalog.onliner.by/pipe_welding
99,1,Арматура,1,https://catalog.onliner.by/armatura
100,1,Аудиоинтерфейсы,1,https://catalog.onliner.by/audiointerface
101,1,Аэрогрили,1,https://catalog.onliner.by/aerogrill
102,1,"Аэрохоккей, настольный футбол, мини-бильярд",1,https://catalog.onliner.by/airhockey
103,1,Багажники на крышу,1,https://catalog.onliner.by/car_racks
104,1,"Бани, купели",1,https://catalog.onliner.by/bath
105,1,Банкетки,1,https://catalog.onliner.by/banquettes
106,1,Банные печи,1,https://catalog.onliner.by/bathstove
107,1,Бассейны,1,https://catalog.onliner.by/pool
108,1,"Батарейки, аккумуляторы, зарядные",1,https://catalog.onliner.by/battery
109,1,Батуты,1,https://catalog.onliner.by/trampoline
110,1,Беговелы,1,https://catalog.onliner.by/balancebike
111,1,Беговые дорожки,1,https://catalog.onliner.by/treadmills
112,1,Беседки,1,https://catalog.onliner.by/garden_house
113,1,Бескаркасная мебель,1,https://catalog.onliner.by/beanbag
114,1,Беспроводные маршрутизаторы,1,https://catalog.onliner.by/wrouter
115,1,Бетономешалки,1,https://catalog.onliner.by/concrete
116,1,Биде,1,https://catalog.onliner.by/bidet
117,1,Бильярдные столы,1,https://catalog.onliner.by/billiardtable
118,1,"Бинокли, подзорные трубы и приборы ночного видения",1,https://catalog.onliner.by/optic
119,1,Биотуалеты,1,https://catalog.onliner.by/biotoilet
120,1,Блендеры,1,https://catalog.onliner.by/blender
121,1,Блинницы,1,https://catalog.onliner.by/crepemaker
122,1,Бритвенные станки и лезвия,1,https://catalog.onliner.by/razorsandblades
123,1,Брошюровщики,1,https://catalog.onliner.by/bindingmachines
124,1,Бумага и материалы для печати,1,https://catalog.onliner.by/photopaper
125,1,Бумбоксы и магнитолы,1,https://catalog.onliner.by/portaudio
126,1,Бутылки для воды,1,https://catalog.onliner.by/water_bottles
127,1,Вакуумные упаковщики,1,https://catalog.onliner.by/vacuummachine
128,1,Ванночки и аксессуары для купания малышей,1,https://catalog.onliner.by/baby_bath
129,1,Ванны,1,https://catalog.onliner.by/bathtub
130,1,Варочные панели,1,https://catalog.onliner.by/hob_cooker
131,1,Вафельницы,1,https://catalog.onliner.by/waffle
132,1,Веб-камеры,1,https://catalog.onliner.by/webcams
133,1,Велобагажники,1,https://catalog.onliner.by/bicyclerack
134,1,Велозамки,1,https://catalog.onliner.by/bikelock
135,1,Велозапчасти,1,https://catalog.onliner.by/bike_parts
136,1,Велокомпьютеры,1,https://catalog.onliner.by/bikecomp
137,1,Велокресла,1,https://catalog.onliner.by/bikeseat
138,1,"Велопокрышки, велокамеры",1,https://catalog.onliner.by/bicycle_tires
139,1,Велоприцепы и буксиры,1,https://catalog.onliner.by/bike_trailer
140,1,"Велосипедные насосы, манометры, шланги",1,https://catalog.onliner.by/bike_pump
141,1,Велосипедные фонари,1,https://catalog.onliner.by/bike_light
142,1,Велосипеды,1,https://catalog.onliner.by/bike
143,1,Велотренажеры,1,https://catalog.onliner.by/velosimulator
144,1,Вентиляторы,1,https://catalog.onliner.by/blower
145,1,Вентиляционные решетки,1,https://catalog.onliner.by/ventil_grates
146,1,Весы для новорожденных,1,https://catalog.onliner.by/babyscales
147,1,Вибраторы,1,https://catalog.onliner.by/vibrators
148,1,Виброплиты,1,https://catalog.onliner.by/platecompactor
149,1,Видеодомофоны,1,https://catalog.onliner.by/videodoorphone
150,1,Видеокамеры,1,https://catalog.onliner.by/video
151,1,Видеорегистраторы,1,https://catalog.onliner.by/videoregistrator
152,1,Виниловые полы,1,https://catalog.onliner.by/vinyl_floor
153,1,Виниловые проигрыватели,1,https://catalog.onliner.by/turntable
154,1,Винные шкафы,1,https://catalog.onliner.by/wine_cabinets
155,1,"Витамины, минералы",1,https://catalog.onliner.by/vitamins
156,1,Водонагреватели,1,https://catalog.onliner.by/waterheater
157,1,Воздуходувки,1,https://catalog.onliner.by/leafblower
158,1,Вспениватели молока,1,https://catalog.onliner.by/milkfrother
159,1,Вспышки и лампы,1,https://catalog.onliner.by/flashes
160,1,Вытяжки,1,https://catalog.onliner.by/hoods
161,1,Газонокосилки,1,https://catalog.onliner.by/mowers
162,1,Гамаки,1,https://catalog.onliner.by/hammock
163,1,"Гантели, штанги, гири",1,https://catalog.onliner.by/freeweights
164,1,Генераторы,1,https://catalog.onliner.by/powerstations
165,1,Гидроаккумуляторы и расширительные баки,1,https://catalog.onliner.by/hydroaccum
166,1,Гидромассажные ванночки,1,https://catalog.onliner.by/footbath
167,1,Гипсокартон,1,https://catalog.onliner.by/drywall
168,1,Гироциклы,1,https://catalog.onliner.by/segway
169,1,Гитарные комбоусилители,1,https://catalog.onliner.by/guitarcombo
170,1,Гитары,1,https://catalog.onliner.by/guitar
171,1,Гладильные доски,1,https://catalog.onliner.by/ironingboard
172,1,Глюкометры,1,https://catalog.onliner.by/glucosemeter
173,1,Граверы,1,https://catalog.onliner.by/engraver
174,1,Гребные тренажеры,1,https://catalog.onliner.by/rowingmachines
175,1,Громкая связь,1,https://catalog.onliner.by/carkit
176,1,Грунтовка,1,https://catalog.onliner.by/primer
177,1,Грунты для растений,1,https://catalog.onliner.by/soilforplants
178,1,"Груши, мешки, манекены для бокса и единоборств",1,https://catalog.onliner.by/punching_bags
179,1,Дачные бытовки и хозблоки,1,https://catalog.onliner.by/garden_cabin
180,1,Дачные туалеты,1,https://catalog.onliner.by/outdoor_toilet
181,1,Двигатели,1,https://catalog.onliner.by/engine
182,1,Дезинфицирующие средства,1,https://catalog.onliner.by/disinfectant
183,1,Декоративная косметика для глаз,1,https://catalog.onliner.by/eye_makeup
184,1,Декоративная косметика для губ,1,https://catalog.onliner.by/lip_makeup
185,1,Декоративная косметика для лица,1,https://catalog.onliner.by/face_makeup
186,1,Декоративный камень и кирпич,1,https://catalog.onliner.by/decorative_stone
187,1,Деревообрабатывающие станки,1,https://catalog.onliner.by/woodworking
188,1,Детекторы валют,1,https://catalog.onliner.by/currencydetector
189,1,"Детские автотреки, трассы",1,https://catalog.onliner.by/race_track
190,1,Детские велосипеды,1,https://catalog.onliner.by/kidsbike
191,1,Детские железные дороги,1,https://catalog.onliner.by/kidsrailroad
192,1,Детские комоды,1,https://catalog.onliner.by/babydresser
193,1,Детские кроватки,1,https://catalog.onliner.by/babycotbed
194,1,Детские куклы,1,https://catalog.onliner.by/doll
195,1,"Детские парты, столы, стулья",1,https://catalog.onliner.by/kidsdesk
196,1,Детские шезлонги и качалки,1,https://catalog.onliner.by/babyswing
197,1,Диагностические тепловизоры и пирометры,1,https://catalog.onliner.by/thermal_imaging
198,1,Диваны,1,https://catalog.onliner.by/divan
199,1,Диктофоны,1,https://catalog.onliner.by/voicerecorder
200,1,Динамометрические ключи и отвертки,1,https://catalog.onliner.by/torque_wrenches
201,1,"Дозаторы, диспенсеры",1,https://catalog.onliner.by/dispenser
202,1,Док-станции для смартфонов,1,https://catalog.onliner.by/speakerdock
203,1,Домкраты,1,https://catalog.onliner.by/carjack
204,1,Дровоколы,1,https://catalog.onliner.by/logsplitter
205,1,"Дровяные камины, печи-камины, порталы",1,https://catalog.onliner.by/stove
206,1,Духовые шкафы,0,https://catalog.onliner.by/oven_cooker
207,1,Душевые кабины,1,https://catalog.onliner.by/showerbox
208,1,Душевые панели и гарнитуры,1,https://catalog.onliner.by/shower
209,1,Душевые поддоны,1,https://catalog.onliner.by/shower_trays
210,1,Елки,1,https://catalog.onliner.by/tree
211,1,"Елочные игрушки, украшения",1,https://catalog.onliner.by/christmasdecor
212,1,Женские электробритвы и эпиляторы,1,https://catalog.onliner.by/ladyshaver
213,1,"Заварочные чайники, кофеварки, френч-прессы",1,https://catalog.onliner.by/teapot
214,1,Зажигалки,1,https://catalog.onliner.by/cigarettelighter
215,1,Заточные станки (точила),1,https://catalog.onliner.by/benchgrinder
216,1,Звуко- и виброизоляция помещений,1,https://catalog.onliner.by/soundproofing
217,1,Звукосниматели и тонармы,1,https://catalog.onliner.by/turntableaccess
218,1,Зонты,1,https://catalog.onliner.by/umbrella
219,1,"Зонты садовые, пляжные",1,https://catalog.onliner.by/street_umbrella
220,1,Зубные щетки и ирригаторы,1,https://catalog.onliner.by/toothbrush
221,1,Игровые домики и палатки,1,https://catalog.onliner.by/playhouse
222,1,Игрушечный транспорт,1,https://catalog.onliner.by/toy_cars
223,1,Игры для ПК,1,https://catalog.onliner.by/pcgames
224,1,Игры для приставок,1,https://catalog.onliner.by/games
225,1,"Игры-опыты, эксперименты",1,https://catalog.onliner.by/science_kits
226,1,Измельчители (чопперы),1,https://catalog.onliner.by/chopper
227,1,Измельчители пищевых отходов,1,https://catalog.onliner.by/disposer
228,1,Ингаляторы,1,https://catalog.onliner.by/inhaler
229,1,"Инсталляции для унитазов, раковин, биде и писсуаров",1,https://catalog.onliner.by/installations
230,1,Инструменты для ремонта и обслуживания велосипеда,1,https://catalog.onliner.by/bike_tools
231,1,Интерактивные игрушки и роботы,1,https://catalog.onliner.by/interactive_toys
232,1,Интерьерные часы,1,https://catalog.onliner.by/interior_clock
233,1,Информационные панели,1,https://catalog.onliner.by/digitalsignage
234,1,Источники бесперебойного питания,1,https://catalog.onliner.by/ups
235,1,Йогуртницы и мороженицы,1,https://catalog.onliner.by/yogurtmaker
236,1,Казаны,1,https://catalog.onliner.by/kazan
237,1,Камеры CCTV,1,https://catalog.onliner.by/cctvcamera
