id,UserID,OfficeID,IsAdmin,WriteDate
3,1,2,1,2021-08-14 00:44:12.000000
4,1,3,1,2021-08-14 14:25:17.000000
5,1,4,1,2021-08-14 14:25:35.000000
6,1,5,1,2021-08-15 00:12:26.000000
7,1,6,1,2021-08-15 00:19:14.000000
1,1,1,1,2021-10-12 18:59:53.193561
2,2,1,1,2021-10-12 22:17:28.840162
