id,KindID,Name,SortOrder,IsActive
201,32,Основные,1534,1
202,32,Технические характеристики,3392,1
203,32,Поддержка жёстких дисков,4000,1
204,32,Сетевое взаимодействие,5000,1
205,32,Размеры и вес,4178,1
206,32,Интерфейсы,6404,1
207,31,Общая информация,2218,1
208,33,Основные,1534,1
209,33,CD,6500,1
210,33,DVD,7500,1
211,33,Размеры и вес,4178,1
212,33,Blu-ray,5000,1
213,34,Основные,1534,1
214,34,Размеры и вес,4178,1
215,33,Общая информация,2218,1
216,32,Аккумулятор и время работы,9526,1
217,35,Общая информация,2218,1
218,35,Основные,1534,1
219,35,Конструкция,3773,1
220,35,Навигация,9778,1
221,35,Функциональность,7833,1
222,35,Аккумулятор и время работы,9526,1
223,35,Производительность и энергоэффективность,5000,1
224,35,Габариты,7600,1
225,35,Комплектация,5892,1
256,36,Общая информация,2218,1
257,36,Основные,1534,1
258,36,Процессор,4667,1
259,36,Конструкция,3773,1
260,36,Размеры и вес,4178,1
261,36,Экран,5688,1
262,36,Основная камера,7000,1
263,36,Фронтальная камера,8000,1
264,36,Функции,5812,1
265,36,Датчики,10167,1
266,36,Навигация,9778,1
267,36,Передача данных,11333,1
268,36,Интерфейсы,6404,1
269,36,Аккумулятор и время работы,9526,1
270,36,Комплектация,5892,1
271,36,"Возможно, вас заинтересует",3583,1
272,36,Безопасность,10000,1
287,38,Общая информация,2218,1
288,38,Основные,1534,1
289,38,Акустическая система,12167,1
290,38,Конструкция,3773,1
291,38,Функциональность,7833,1
292,38,Интерфейсы,6404,1
293,38,Питание,7607,1
294,38,Габариты,7600,1
295,37,Общая информация,2218,1
296,37,Основные,1534,1
297,38,Комплектация,5892,1
298,37,Функции,5812,1
299,37,Конструкция,3773,1
300,37,Экран,5688,1
301,37,Датчики,10167,1
302,37,Навигация,9778,1
303,37,Интерфейсы,6404,1
304,37,Аккумулятор и время работы,9526,1
305,37,Размеры и вес,4178,1
306,37,Память,6625,1
307,37,Комплектация,5892,1
308,37,Работа с изображением,6875,1
309,37,Процессор,4667,1
310,39,Основные,1534,1
311,39,Технические характеристики,3392,1
312,39,Размеры и вес,4178,1
313,39,Дополнительно,5000,1
314,39,Комплектация,5892,1
315,39,Общая информация,2218,1
316,40,Общая информация,2218,1
317,40,Основные,1534,1
318,40,Функциональные особенности,4270,1
319,40,Технические характеристики,3392,1
320,40,Контроллеры и комплектация,16750,1
321,40,Интерфейсы и коммуникации,17750,1
322,40,Размеры и вес,4178,1
323,40,"Возможно, вас заинтересует",3583,1
324,40,Дисплей,9000,1
325,41,Общая информация,2218,1
326,41,Основные,1534,1
327,41,Фронтальная АС,4333,1
328,41,Интерфейсы,6404,1
329,41,Сабвуфер,5000,1
330,41,Тыловая АС,6000,1
331,41,Центральная АС,7000,1
332,41,Комплектация,5892,1
333,41,Питание,7607,1
344,16,Процессор,4667,1
345,16,Конструкция,3773,1
346,16,Оперативная память,6750,1
347,16,Хранение данных,7000,1
348,16,Графика,8750,1
349,16,Корпус и блок питания,10000,1
350,16,Комплектация,5892,1
351,8,Слоты расширения,6000,1
352,8,Интерфейсы накопителей,7000,1
353,8,Сеть и связь,8000,1
354,8,Разъемы на задней панели,9500,1
355,19,Технические характеристики,3392,1
356,8,Внутренние разъемы,11000,1
362,2,Технические характеристики,3392,1
363,2,Характеристики коврика,9333,1
364,2,Размеры коврика,10333,1
365,4,Технические характеристики,3392,1
366,4,Вентилятор,11667,1
367,4,Помпа,13000,1
368,4,Характеристики клавиатуры,9857,1
369,4,Размеры и вес клавиатуры,12800,1
370,4,Функциональные особенности,4270,1
371,4,Контроллеры и комплектация,16750,1
372,4,Интерфейсы и коммуникации,17750,1
373,2,Акустическая система,12167,1
374,2,Функциональность,7833,1
375,2,Питание,7607,1
376,2,Габариты,7600,1
377,2,Технические характеристики корпуса,9333,1
378,2,Передняя панель корпуса,10333,1
379,6,Конструктивные характеристики,7750,1
380,6,Размеры и вес,4178,1
381,6,Питание,7607,1
382,6,Размеры и вес мыши,9250,1
383,1,Основные,1534,1
384,1,Технические характеристики,3392,1
385,1,Вентилятор,11667,1
386,1,Помпа,13000,1
387,9,Навигация,9778,1
388,9,Функциональность,7833,1
389,9,Аккумулятор и время работы,9526,1
390,9,Производительность и энергоэффективность,5000,1
391,9,Комплектация,5892,1
392,9,Габариты,7600,1
393,4,Акустическая система,12167,1
394,4,Питание,7607,1
395,4,Габариты,7600,1
419,2,Конструктивные характеристики,7750,1
420,21,Процессор,4667,1
421,21,Конструкция,3773,1
422,21,Экран,5688,1
423,21,Основная камера,7000,1
424,21,Фронтальная камера,8000,1
425,21,Функции,5812,1
426,21,Датчики,10167,1
427,21,Навигация,9778,1
428,21,Передача данных,11333,1
429,21,Интерфейсы,6404,1
430,21,Аккумулятор и время работы,9526,1
433,45,"Возможно, вас заинтересует",3583,1
434,45,Основные,1534,1
435,45,Конструкция и вместимость,2500,1
436,45,Производительность и энергоэффективность,5000,1
437,45,Управление и индикация,3417,1
438,45,Холодильная камера,5500,1
439,45,Морозильная камера,7000,1
440,45,Габариты,7600,1
441,22,Технические характеристики,3392,1
442,22,Конструкция,3773,1
