id,GroupID,Name,Description,IsActive,SortOrder
169,32,Встроенная в процессор графика,,1,321690
170,33,Материал корпуса,,1,331700
171,33,Цвет корпуса,,1,331710
172,33,Подсветка корпуса,,1,331720
173,34,Ширина,,1,341730
174,34,Высота,,1,341740
175,34,Глубина,,1,341750
176,34,Вес,,1,341760
177,35,Диагональ экрана,,1,351770
178,35,Разрешение экрана,,1,351780
179,35,Технология экрана,,1,351790
180,35,Безрамочный экран,,1,351800
181,35,Сенсорный экран,,1,351810
182,35,Датчик освещенности,,1,351820
183,36,Тип оперативной памяти,,1,361830
184,36,Частота оперативной памяти,,1,361840
185,36,Объём памяти,,1,361850
186,36,Максимальный объём памяти,,1,361860
187,36,Всего слотов памяти,,1,361870
188,37,Конфигурация накопителя,,1,371880
189,37,Тип накопителя,,1,371890
190,37,Ёмкость накопителя,,1,371900
191,37,Оптический привод (ODD),,1,371910
192,37,Карты памяти,,1,371920
193,38,Дискретная графика,,1,381930
194,38,Графический адаптер,,1,381940
195,38,Локальная видеопамять,,1,381950
196,39,Камера,,1,391960
197,39,Количество пикселей камеры,,1,391970
198,39,Камера для идентификации пользователя,,1,391980
199,39,Встроенный микрофон,,1,391990
200,39,Технологии объемного звучания,,1,392000
201,39,Встроенные динамики,,1,392010
202,40,NFC,,1,402020
203,40,Bluetooth,,1,402030
204,40,LAN,,1,402040
205,40,Wi-Fi,,1,402050
206,40,Всего USB-портов,,1,402060
207,40,USB 2.0,,1,402070
208,40,USB 3.0,,1,402080
209,40,USB 3.1 Type-A,,1,402090
210,40,USB 3.1 Type-C,,1,402100
211,40,COM-порт (RS-232),,1,402110
212,40,VGA (RGB),,1,402120
213,40,DVI,,1,402130
214,40,HDMI,,1,402140
215,40,DisplayPort,,1,402150
216,40,Thunderbolt,,1,402160
217,40,Аудио выходы (3.5 мм jack),,1,402170
218,40,Аудио входы (3.5 мм jack),,1,402180
219,40,Выход S/PDIF,,1,402190
220,40,Док-порт,,1,402200
221,40,PS/2,,1,402210
222,41,Операционная система,,1,412220
223,41,Комплект поставки,,1,412230
224,41,Клавиатура,,1,412240
225,41,Мышь,,1,412250
226,35,Поверхность экрана,,1,352260
227,34,Толщина,,1,342270
228,37,Скорость вращения,,1,372280
229,37,Форм-фактор накопителя,,1,372290
230,42,Сканер отпечатков пальцев,,1,422300
231,37,Щелевая загрузка дисков,,1,372310
232,42,Беспроводная зарядка,,1,422320
233,39,Производитель динамиков,,1,392330
234,43,Дата выхода на рынок,,1,432340
235,43,Тип,,1,432350
236,43,Назначение,,1,432360
237,44,Процессор,,1,442370
238,44,Модель процессора,,1,442380
239,45,Описание процессора в каталоге,,1,452390
240,45,Количество ядер,,1,452400
241,45,Тактовая частота,,1,452410
242,45,Turbo-частота,,1,452420
