id,GoodID,CatalogMarketID,Price,WriteDate
883262,2408,3,383.02,2021-09-13 17:24:14.000000
883264,2408,82,411.04,2021-09-10 14:01:13.000000
883273,2408,28,357.78,2021-09-11 11:08:11.000000
883279,2408,80,407.27,2021-09-10 14:01:13.000000
883281,2408,44,413.69,2021-09-10 14:01:13.000000
883321,4907,827,3341.00,2021-07-09 01:18:11.000000
883332,7593,80,1583.78,2021-06-24 13:57:39.000000
883333,7593,82,1583.78,2021-06-25 17:15:49.000000
883334,7593,328,1701.06,2021-07-15 12:22:33.000000
883337,7593,28,1646.23,2021-07-15 00:40:11.000000
883340,7593,227,1689.05,2021-07-15 12:22:33.000000
883346,7593,230,1763.85,2021-07-15 12:22:33.000000
883348,7593,827,1773.30,2021-06-24 13:57:39.000000
883353,7593,9,1689.96,2021-07-14 17:11:50.000000
883357,7593,792,1912.76,2021-07-14 17:11:50.000000
883359,7593,449,1761.07,2021-07-15 12:22:33.000000
883364,7593,19,2302.97,2021-07-15 12:22:33.000000
883383,5180,10,487.81,2021-09-11 11:08:20.000000
883398,5180,23,572.02,2021-09-13 14:23:23.000000
883406,5180,28,486.88,2021-09-13 20:25:24.000000
883414,5180,9,517.67,2021-09-13 20:25:24.000000
883430,8058,10,273.00,2021-09-13 11:22:35.000000
883431,8058,16,265.81,2021-09-07 19:42:40.000000
883432,8058,32,273.00,2021-09-13 14:23:33.000000
883435,8058,18,283.92,2021-09-13 17:24:36.000000
883444,8058,12,378.54,2021-09-14 02:26:32.000000
883446,8058,36,285.26,2021-09-12 20:18:29.000000
883447,8058,28,249.00,2021-08-31 00:46:32.000000
883448,8058,9,280.21,2021-09-09 16:55:33.000000
883455,8058,23,265.81,2021-09-13 14:23:33.000000
883463,7989,9,261.88,2021-07-15 00:40:17.000000
883464,7989,32,261.88,2021-07-15 12:22:37.000000
883513,8580,341,3036.96,2021-06-24 13:57:40.000000
883514,9698,10,319.33,2021-07-14 10:26:09.000000
883515,9698,16,315.00,2021-07-13 14:21:32.000000
883517,9698,28,315.00,2021-07-13 14:21:32.000000
883520,9698,18,323.50,2021-07-15 12:23:06.000000
